IMEI,Device Name,Pick Time,EW,Longitude,NS,Latitude,Speed,Course,Altitude,Temperature,Voltage,Activity,Satellites,HDOP,VDOP,Precision Grade,Validity,Transmission Time,Channel
073588670,HQC6261 Toad,2025-10-03 17:17:12,E,2.3021300,N,44.4516400,0.00,0.0,500.00,15.03,3.68,2,5,12.9,15.3,D,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-29 17:58:05,E,2.7924500,N,46.9838300,0.00,0.0,189.00,24.47,3.66,18934,9,0.9,0.9,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-29 10:01:00,E,2.7922300,N,46.9849300,0.00,0.0,184.00,29.80,3.64,21875,8,1.7,3.1,B,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-28 13:59:11,E,2.7926700,N,46.9847900,0.00,0.0,188.00,28.97,3.68,38195,9,1.1,1.6,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-27 12:01:12,E,2.7925100,N,46.9846300,0.00,0.0,186.00,27.49,3.68,45954,11,1.0,1.1,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-25 15:58:44,E,2.7907100,N,46.9850300,0.00,0.0,185.00,22.67,3.67,46824,4,3.8,6.8,C,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-24 06:00:59,E,2.7901300,N,46.9840600,0.00,0.0,181.00,22.06,3.67,1936,11,0.9,1.0,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-24 02:00:55,E,2.7977500,N,46.9498000,0.00,0.0,216.00,24.20,3.67,20,12,0.5,0.9,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-23 22:00:55,E,2.7977700,N,46.9497900,0.00,0.0,216.00,24.70,3.68,10437,12,0.8,1.0,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-23 12:00:28,E,2.3384900,N,47.0777900,0.00,0.0,145.00,24.89,3.70,3482,9,1.1,1.2,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-23 10:00:55,E,2.3383100,N,47.0780400,0.00,0.0,145.00,22.53,3.69,6724,12,0.7,1.3,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-23 06:00:55,E,2.3384100,N,47.0778300,0.00,0.0,139.00,18.81,3.67,1886,12,0.6,0.8,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-23 02:00:55,E,2.2857000,N,47.1273500,69.10,142.0,211.00,10.17,3.68,2403,12,0.7,0.9,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-22 22:01:00,E,2.1287000,N,47.7933300,0.00,0.0,131.00,17.30,3.69,9469,11,1.0,1.1,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-22 12:00:56,E,2.1160100,N,47.8279900,0.00,0.0,111.00,39.71,3.68,3498,11,0.9,1.2,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-22 10:00:59,E,2.1150300,N,47.8281000,0.00,0.0,105.00,30.43,3.65,12532,5,1.9,4.9,B,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-21 22:01:00,E,2.3276500,N,48.5804000,0.00,0.0,79.00,20.87,3.67,9577,11,0.8,0.9,A,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-21 12:00:36,E,2.2293000,N,50.3992900,0.00,0.0,138.00,25.99,3.65,1806,5,3.1,1.7,B,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-21 10:00:59,E,2.2288300,N,50.3995600,0.00,0.0,135.00,28.37,3.65,4791,6,2.3,3.1,B,Yes,2025-10-03 17:17:29,GPRS
073588670,HQC6261 Toad,2025-09-21 02:00:55,E,2.2298100,N,50.3990700,0.00,0.0,130.00,24.10,3.67,149,12,0.7,1.0,A,Yes,2025-10-03 17:17:29,GPRS
